id,bicycle_type,product_name,product_description,price
64,Road Bike,Road Runner 200,"Road Runner 200 offers a sleek design and lightweight build, providing excellent performance and comfort for road cyclists. Its precision engineering ensures a smooth and fast ride.",747.14
65,Hybrid Bike,City Explorer 100,"Navigate urban streets and park trails effortlessly with the City Explorer 100. This hybrid bike boasts a durable frame, comfortable seating, and versatile tires.",417.25
66,Touring Bike,Touring Pro 400,"Embark on your next journey with the Touring Pro 400. This touring bike offers a stable ride, ergonomic design, and ample storage for extended trips.",2058.26
67,Mountain Bike,Rockhopper 200,"The Rockhopper 200 is a high-performance mountain bike designed for tackling the toughest trails. It features a durable frame, superior suspension, and aggressive tires for excellent traction.",809.1
68,Folding Bike,Urban Folder 200,"Ideal for city living, the Urban Folder 200 folding bike offers convenience and portability. It folds quickly and easily for storage, yet provides a smooth ride with its sturdy construction.",867.52
69,Cruiser Bike,Smooth Cruiser 100,"Enjoy a comfortable and leisurely ride with the Smooth Cruiser 100. This cruiser bike features a classic design, wide tires, and a plush saddle for maximum comfort.",474.07
70,Road Bike,Veloce 300,"The Veloce 300 road bike is engineered for speed and efficiency. Its aerodynamic frame, high-quality components, and smooth gear shifts make it perfect for long rides on paved roads.",1332.89
71,Electric Bike,Electro Cruiser 500,"Experience the future of commuting with the Electro Cruiser 500. This electric bike offers pedal-assist technology, a durable frame, and smooth acceleration for a seamless ride.",3288.46
72,BMX Bike,Stunt Rider 100,"The Stunt Rider 100 BMX bike is built for stunts and tricks, featuring a strong frame, responsive brakes, and durable tires for maximum performance in the skate park.",152.6
73,Cruiser Bike,Easy Glider 200,"Enjoy a comfortable and leisurely ride with the Easy Glider 200. This cruiser bike features a classic design, wide tires, and a plush saddle for maximum comfort.",758.75
74,Cruiser Bike,Leisure Leader 200,"Enjoy a comfortable and leisurely ride with the Leisure Leader 200. This cruiser bike features a classic design, wide tires, and a plush saddle for maximum comfort.",591.56
75,Cyclocross Bike,Cross King 300,"Experience the excitement of cyclocross with the Cross King 300. This bike offers quick handling, robust construction, and advanced components for high-performance racing.",1095.42
76,Folding Bike,Portable Pedal 300,"Ideal for city living, the Portable Pedal 300 folding bike offers convenience and portability. It folds quickly and easily for storage, yet provides a smooth ride with its sturdy construction.",1491.63
77,Cruiser Bike,Comfort King 200,"Enjoy a comfortable and leisurely ride with the Comfort King 200. This cruiser bike features a classic design, wide tires, and a plush saddle for maximum comfort.",680.13
78,Cyclocross Bike,Dirt Racer 300,"Experience the excitement of cyclocross with the Dirt Racer 300. This bike offers quick handling, robust construction, and advanced components for high-performance racing.",1261.11
79,Folding Bike,City Compact 300,"The City Compact 300 is a compact and efficient folding bike, perfect for urban commuters. Its lightweight frame and reliable components ensure a hassle-free ride.",1823.8
80,Gravel Bike,Gravel Crusher 300,"With the Gravel Crusher 300, you can explore new paths. This gravel bike provides durability, stability, and versatility for both on-road and off-road adventures.",1865.88
81,Folding Bike,Portable Pedal 200,"Experience the convenience of the Portable Pedal 200 folding bike. It features a robust frame, easy folding mechanism, and comfortable ride, making it perfect for city use.",906.43
82,Folding Bike,City Compact 200,"The City Compact 200 is a compact and efficient folding bike, perfect for urban commuters. Its lightweight frame and reliable components ensure a hassle-free ride.",640.5
83,BMX Bike,Ramp King 100,"Designed for extreme sports, the Ramp King 100 BMX bike provides a robust build, superior control, and reliable brakes, making it perfect for trick riding.",323.29
84,Touring Bike,Touring Pro 300,"For serious cyclists, the Touring Pro 300 provides a reliable touring bike with a strong frame, comfortable geometry, and plenty of storage options for long-distance travel.",1739.49
85,Mountain Bike,Summit Seeker 200,"With the Summit Seeker 200, you get a mountain bike built for adventure, offering a lightweight yet robust frame, responsive handling, and powerful disc brakes.",553.01
86,Cyclocross Bike,Barrier Breaker 300,"The Barrier Breaker 300 cyclocross bike is designed for speed and agility, with a lightweight frame, responsive brakes, and durable tires to handle challenging courses.",1933.33
87,Gravel Bike,Pathfinder 400,"With the Pathfinder 400, you can explore new paths. This gravel bike provides durability, stability, and versatility for both on-road and off-road adventures.",2400.96
88,Hybrid Bike,Pathfinder 200,"The Pathfinder 200 hybrid bike blends the best of road and mountain bikes, featuring a comfortable upright position, versatile tires, and a sturdy frame for various terrains.",621.5
89,Mountain Bike,Mountain Master 300,"Conquer any terrain with the Mountain Master 300. This mountain bike comes with an advanced suspension system, rugged tires, and a reliable gear system for all your off-road needs.",1008.93
90,Road Bike,Fast Track 400,"Fast Track 400 offers a sleek design and lightweight build, providing excellent performance and comfort for road cyclists. Its precision engineering ensures a smooth and fast ride.",2960.73
91,Road Bike,Asphalt Racer 400,"Experience the thrill of road cycling with the Asphalt Racer 400. This bike features a responsive braking system, aerodynamic frame, and high-performance tires for unmatched speed.",2446.84
92,Road Bike,Pavement Pro 400,"Pavement Pro 400 offers a sleek design and lightweight build, providing excellent performance and comfort for road cyclists. Its precision engineering ensures a smooth and fast ride.",2941.93
93,Folding Bike,Urban Folder 100,"Experience the convenience of the Urban Folder 100 folding bike. It features a robust frame, easy folding mechanism, and comfortable ride, making it perfect for city use.",401.13
94,Mountain Bike,Hill Climber 300,"The Hill Climber 300 is a high-performance mountain bike designed for tackling the toughest trails. It features a durable frame, superior suspension, and aggressive tires for excellent traction.",1098.34
95,Electric Bike,E-Power 400,"The E-Power 400 electric bike combines modern technology with cycling, featuring a powerful motor, long-lasting battery, and intuitive controls for an effortless ride.",2381.57
96,Gravel Bike,Trail Blazer 300,"The Trail Blazer 300 gravel bike is built for versatility, offering a stable ride on both paved and unpaved roads with its rugged frame and wide tires.",1271.95
97,Gravel Bike,Road Rambler 300,"The Road Rambler 300 gravel bike is built for versatility, offering a stable ride on both paved and unpaved roads with its rugged frame and wide tires.",1735.93
98,Mountain Bike,Peak Conqueror 200,"With the Peak Conqueror 200, you get a mountain bike built for adventure, offering a lightweight yet robust frame, responsive handling, and powerful disc brakes.",563.57
99,Hybrid Bike,Town Trekker 200,"Navigate urban streets and park trails effortlessly with the Town Trekker 200. This hybrid bike boasts a durable frame, comfortable seating, and versatile tires.",864.05
100,BMX Bike,Airborne Ace 100,"The Airborne Ace 100 BMX bike is built for stunts and tricks, featuring a strong frame, responsive brakes, and durable tires for maximum performance in the skate park.",250.9
